id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
gom_raw_Electrician (Tr_0082,voltmeter,व्होल्टमीटर,,"Voltmeter MI, 250 V - 2 Nos","व्होल्टमीटर MI, 250 V - 2 Nos",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0124,voltage,व्होल्टेज,,Applied voltage,Applied व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0073,voltage,व्होल्टेज,,Fixed Voltage (V) Variable Resistance (R) Current (I) I = V/R,Fixed व्होल्टेज (V) Variable Resistance (R) Current (I) I = V/R,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0084,voltmeter,व्होल्टमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down व्होल्टमीटर & Ammeter readings,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0208,cable,केबल,,re / cable in wire gauge,re / केबल in wire gauge,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0121,voltage,व्होल्टेज,,4 Keep the voltage control k,4 Keep the व्होल्टेज control k,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0081,resistance,प्रतिकार,,"• measure the voltage, current and resistance value in se","• measure the voltage, current and प्रतिकार value in se",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0233,fuse,फ्यूज,,4 Simulate the short circuit fault in the circuit and observe the fuse blowing,4 Simulate the short circuit fault in the circuit and observe the फ्यूज blowing,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0278,earthing,अर्थिंग,,2 Identify and test the earthing installation/s for working c,2 Identify and test the अर्थिंग installation/s for working c,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0312,voltmeter,व्होल्टमीटर,,to position 2 and observe the Close the switch S to position 2 and observe the voltmeter,to position 2 and observe the Close the switch S to position 2 and observe the व्होल्टमीटर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0184,voltage,व्होल्टेज,,rging voltage & battery voltage and wait unt,rging व्होल्टेज & battery व्होल्टेज and wait unt,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0232,voltage,व्होल्टेज,,3 Connect the glass fuse in low voltage circuit,3 Connect the glass fuse in low व्होल्टेज circuit,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0069,voltmeter,व्होल्टमीटर,,4 Note down the voltmeter & Ammeter readings in each s,4 Note down the व्होल्टमीटर & Ammeter readings in each s,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0052,voltage,व्होल्टेज,,"measure the voltage, current & resistance in electrical c","measure the व्होल्टेज, current & resistance in electrical c",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0277,neutral wire,न्यूट्रल वायर,,failure/break of main supply neutral wire,failure/break of main supply न्यूट्रल वायर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0155,ammeter,अमीटर,,• DC milli Ammeter (500 mA),• DC milli अमीटर (500 mA),,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0123,voltage,व्होल्टेज,,7 Repeat these steps by setting the PS voltages to 100 V and 150 V,7 Repeat these steps by setting the PS व्होल्टेजs to 100 V and 150 V,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0057,ammeter,अमीटर,,"Ammeter MI, 10 Amp","अमीटर MI, 10 Amp",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0205,voltage,व्होल्टेज,,No Radiation Voltage,No Radiation व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0228,fuse,फ्यूज,,TASK 1: Connect and test the Fuse,TASK 1: Connect and test the फ्यूज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0274,earthing,अर्थिंग,,(PME) system : It is a method of earthing system in which an earth conductor is,(PME) system : It is a method of अर्थिंग system in which an earth conductor is,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0064,ammeter,अमीटर,,Note down the voltmeter & Ammeter readings in each s,Note down the voltmeter & अमीटर readings in each s,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0053,resistance,प्रतिकार,,"measure the voltage, current & resistance in electrical c","measure the voltage, current & प्रतिकार in electrical c",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0074,resistance,प्रतिकार,,Fixed Voltage (V) Variable Resistance (R) Current (I) I = V/R,Fixed Voltage (V) Variable प्रतिकार (R) Current (I) I = V/R,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0141,resistance,प्रतिकार,,hrome wire as per calculated value of resistance,hrome wire as per calculated value of प्रतिकार,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0056,voltmeter,व्होल्टमीटर,,"Voltmeter MI, 250 V","व्होल्टमीटर MI, 250 V",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0266,resistance,प्रतिकार,,5ft 10ft 15ft 20ft Average V alue of earth resistance (Ω),5ft 10ft 15ft 20ft Average V alue of earth प्रतिकार (Ω),,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0212,conduit,कंड्यूट,,TASK 1: Carry out PVC conduit pipe wiring,TASK 1: Carry out PVC कंड्यूट pipe wiring,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0225,fuse,फ्यूज,,• Fuse / MCB trainer kit Standard - 1 No,• फ्यूज / MCB trainer kit Standard - 1 No,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0049,earthing,अर्थिंग,,minals of ground / earthing point,minals of ground / अर्थिंग point,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0285,copper conductor,तांब्याचो वाहक,,• Bare copper conductor 26 SWG - 4 Mtr,• Bare तांब्याचो वाहक 26 SWG - 4 Mtr,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0157,voltage,व्होल्टेज,,sure the total voltage and cur,sure the total व्होल्टेज and cur,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0181,voltage,व्होल्टेज,,f constant voltage method of battery charging,f constant व्होल्टेज method of battery charging,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0020,insulation,इन्सुलेशन,,53 To measure the insulation resistance of Electrical machineries 109,53 To measure the इन्सुलेशन resistance of Electrical machineries 109,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0298,capacitor,कॅपॅसिटर,,• test the capacitor for charge and discharge,• test the कॅपॅसिटर for charge and discharge,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0196,resistance,प्रतिकार,,meter at maximum resistance position,meter at maximum प्रतिकार position,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0316,capacitor,कॅपॅसिटर,,Connect the ohmmeter to test the capacitor and observ,Connect the ohmmeter to test the कॅपॅसिटर and observ,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0178,voltage,व्होल्टेज,,• measure the voltage & specific gravity of lead acid batte,• measure the व्होल्टेज & specific gravity of lead acid batte,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0050,cable,केबल,,Now hold the discharge rod and touch its steel hook to line bus bars of LT panel & power cables including,Now hold the discharge rod and touch its steel hook to line bus bars of LT panel & power केबलs including,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0046,earthing,अर्थिंग,,"4 Identify the earthing point, check and ensure the earth c","4 Identify the अर्थिंग point, check and ensure the earth c",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0296,capacitor,कॅपॅसिटर,,• test the capacitor with DC supply for insulation and leak,• test the कॅपॅसिटर with DC supply for insulation and leak,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0286,copper conductor,तांब्याचो वाहक,,d of bare copper conductor and twist it tightly on the nail,d of bare तांब्याचो वाहक and twist it tightly on the nail,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0252,insulation,इन्सुलेशन,,"• Insulation tape PVC, 19mm - 1 role","• इन्सुलेशन tape PVC, 19mm - 1 role",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0318,capacitor,कॅपॅसिटर,,1 Charging: at the time of charging capacitor voltage inc,1 Charging: at the time of charging कॅपॅसिटर voltage inc,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0188,voltage,व्होल्टेज,,sure the battery voltage,sure the battery व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0189,voltage,व्होल्टेज,,• Do not charge the battery with abnormal voltage / curre,• Do not charge the battery with abnormal व्होल्टेज / curre,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0063,voltmeter,व्होल्टमीटर,,Note down the voltmeter & Ammeter readings in each s,Note down the व्होल्टमीटर & Ammeter readings in each s,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0026,protective device,सुरक्षा उपकरण,,"98 Test and service protective devices, control panel etc 240","98 Test and service सुरक्षा उपकरणs, control panel etc 240",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0174,voltage,व्होल्टेज,,(Charging voltage / current value should,(Charging व्होल्टेज / current value should,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0254,earthing,अर्थिंग,,Identify the earthing point to be tested and clean the ea,Identify the अर्थिंग point to be tested and clean the ea,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0291,insulation,इन्सुलेशन,,• Do not scrape the insulation of conductor while making,• Do not scrape the इन्सुलेशन of conductor while making,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0083,ammeter,अमीटर,,"Ammeter MI, 10 Amp - 2 Nos","अमीटर MI, 10 Amp - 2 Nos",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0234,fuse,फ्यूज,,5 Practice connection of HRC fuse in 3 phase circuits,5 Practice connection of HRC फ्यूज in 3 phase circuits,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0009,resistance,प्रतिकार,,24 To measure the earth resistance by earth tester 46,24 To measure the earth प्रतिकार by earth tester 46,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0173,voltage,व्होल्टेज,,6 Set the charging voltage & current in battery charger and switch ON,6 Set the charging व्होल्टेज & current in battery charger and switch ON,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0108,resistance,प्रतिकार,,• Resistance Unknown valu,• प्रतिकार Unknown valu,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0183,voltage,व्होल्टेज,,(Charging voltage / value should,(Charging व्होल्टेज / value should,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0269,resistance,प्रतिकार,,alue of Earth Resistance: ______,alue of Earth प्रतिकार: ______,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0209,conduit,कंड्यूट,,casing capping & PVC conduit pipe,casing capping & PVC कंड्यूट pipe,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0144,voltage,व्होल्टेज,,Test the solenoid coil with low voltage supply and obser,Test the solenoid coil with low व्होल्टेज supply and obser,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0248,earthing,अर्थिंग,,• test the earth continuity of earthing point,• test the earth continuity of अर्थिंग point,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0112,voltage,व्होल्टेज,,"measure the voltage, current & resistance in complex c","measure the व्होल्टेज, current & resistance in complex c",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician_0003,ammeter,अमीटर,,ammeter connection for 3 phase lamp load,अमीटर connection for 3 phase lamp load,,gom_Deva,data/raw/Electrician.txt,True
gom_raw_Electrician (Tr_0065,voltage,व्होल्टेज,,erify the ohms law with variable voltage & constant resistance method,erify the ohms law with variable व्होल्टेज & constant resistance method,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0142,resistance,प्रतिकार,,5 Measure the resistance of heating coil and record it,5 Measure the प्रतिकार of heating coil and record it,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0092,voltmeter,व्होल्टमीटर,,e of lamps / resisters and note voltmeter & Ammeter readings,e of lamps / resisters and note व्होल्टमीटर & Ammeter readings,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0195,cable,केबल,,1 Make the series connection of solar cells / PV modules by solar connector cables with proper polarity as per,1 Make the series connection of solar cells / PV modules by solar connector केबलs with proper polarity as per,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0237,voltage,व्होल्टेज,,• Do not make short circuit in high voltage circuit to test MCB,• Do not make short circuit in high व्होल्टेज circuit to test MCB,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0204,voltage,व्होल्टेज,,1 Tabulate the voltage & current readings and calculate th,1 Tabulate the व्होल्टेज & current readings and calculate th,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0253,earthing,अर्थिंग,,TASK 1 : Identify & test the earthing point,TASK 1 : Identify & test the अर्थिंग point,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0307,ammeter,अमीटर,,3 Observe the deflection in the ammeter and voltmeter,3 Observe the deflection in the अमीटर and voltmeter,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0037,live wire,लाइव वायर,,is in Contact with Live Wire,is in Contact with लाइव वायर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0153,voltage,व्होल्टेज,,sure the total voltage and cur,sure the total व्होल्टेज and cur,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0060,voltmeter,व्होल्टमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down व्होल्टमीटर & Ammeter readings,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0171,voltage,व्होल्टेज,,TASK 1: Test the specific gravity & battery voltage,TASK 1: Test the specific gravity & battery व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0265,electric shock,विजेचो धक्का,,ecting mains which causes electric shock,ecting mains which causes विजेचो धक्का,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0132,insulation,इन्सुलेशन,,Remove the insulation of 1,Remove the इन्सुलेशन of 1,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0139,insulation,इन्सुलेशन,,Insulate the soldered joint with insulation tape,Insulate the soldered joint with इन्सुलेशन tape,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0289,voltage,व्होल्टेज,,2 Connect the electromagnet to the low voltage,2 Connect the electromagnet to the low व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0116,voltage,व्होल्टेज,,2 Mark the polarity of the voltage drops across the resisto,2 Mark the polarity of the व्होल्टेज drops across the resisto,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0320,voltage,व्होल्टेज,,reases as the current and resistor voltage decrease,reases as the current and resistor व्होल्टेज decrease,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0308,voltmeter,व्होल्टमीटर,,3 Observe the deflection in the ammeter and voltmeter,3 Observe the deflection in the ammeter and व्होल्टमीटर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0151,voltage,व्होल्टेज,,• check the voltage & curren,• check the व्होल्टेज & curren,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0182,voltage,व्होल्टेज,,5 Set the charging voltage of 13,5 Set the charging व्होल्टेज of 13,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0119,voltage,व्होल्टेज,,rite the Kirchhoff’s voltage equations for the closed paths,rite the Kirchhoff’s व्होल्टेज equations for the closed paths,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0217,fuse,फ्यूज,,5 After satisfactory test results connect the electrical wiring supply mains through the protective fuse & MCB’,5 After satisfactory test results connect the electrical wiring supply mains through the protective फ्यूज & MCB’,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0115,voltage,व्होल्टेज,,Verify Kirchhoff’s Voltage Law - KVL,Verify Kirchhoff’s व्होल्टेज Law - KVL,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0276,neutral wire,न्यूट्रल वायर,,connected to the earthing point as well as neutral wire of main incoming supply,connected to the earthing point as well as न्यूट्रल वायर of main incoming supply,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0007,conduit,कंड्यूट,,21 To carry out Electrical wiring on PVC casing capping & PVC conduit pipe 40,21 To carry out Electrical wiring on PVC casing capping & PVC कंड्यूट pipe 40,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0170,voltage,व्होल्टेज,,ity of electrolyte and battery voltage,ity of electrolyte and battery व्होल्टेज,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0077,resistance,प्रतिकार,,Method-2 (Constant resistance & variable voltage method),Method-2 (Constant प्रतिकार & variable voltage method),,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0229,fuse,फ्यूज,,"Identify the different types of fuses, their construction and ratings","Identify the different types of फ्यूजs, their construction and ratings",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0010,earthing,अर्थिंग,,25 Testing of protective multiple earthing (PME) connection 48,25 Testing of protective multiple अर्थिंग (PME) connection 48,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0293,capacitor,कॅपॅसिटर,,"EXERCISE 27 : Identify various types of capacitors,","EXERCISE 27 : Identify various types of कॅपॅसिटरs,",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0241,cable,केबल,,"rotective elements, wires & cables etc","rotective elements, wires & केबलs etc",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0302,capacitor,कॅपॅसिटर,,Identification of capacitors,Identification of कॅपॅसिटरs,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician_0001,three phase,थ्री फेज,,"a) Construct energy measurement circuit with three phase energy meter , Voltmeter and","a) Construct energy measurement circuit with थ्री फेज energy meter , Voltmeter and",,gom_Deva,data/raw/Electrician.txt,True
gom_raw_Electrician (Tr_0149,voltage,व्होल्टेज,,ery for charging and measure the charging voltage & current,ery for charging and measure the charging व्होल्टेज & current,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0004,voltage,व्होल्टेज,,08 Measure the current and voltage in electrical circuits to verify Kirchhoff’s Law 15,08 Measure the current and व्होल्टेज in electrical circuits to verify Kirchhoff’s Law 15,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0262,resistance,प्रतिकार,,3 to 5 readings of earth resistance and take average value which is measured,3 to 5 readings of earth प्रतिकार and take average value which is measured,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0202,resistance,प्रतिकार,,Reduce the potentiometer resistance in steps until voltm,Reduce the potentiometer प्रतिकार in steps until voltm,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0012,voltage,व्होल्टेज,,29 To measure the voltage & current in Star and Delta connection 56,29 To measure the व्होल्टेज & current in Star and Delta connection 56,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0220,resistance,प्रतिकार,,Insulation resistance test between conductors,Insulation प्रतिकार test between conductors,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0055,voltage,व्होल्टेज,,• verify the ohms law by keeping supply voltage constant,• verify the ohms law by keeping supply व्होल्टेज constant,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0150,voltage,व्होल्टेज,,Check the battery voltage and AH rating of battery,Check the battery व्होल्टेज and AH rating of battery,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0006,earthing,अर्थिंग,,"Module 4: Electrical Wiring Practice, Earthing","Module 4: Electrical Wiring Practice, अर्थिंग",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0315,capacitor,कॅपॅसिटर,,1 Discharge the given capacitor,1 Discharge the given कॅपॅसिटर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0221,fuse,फ्यूज,,"EXERCISE 22 : To identify protective fuse, MCB, ELCB","EXERCISE 22 : To identify protective फ्यूज, MCB, ELCB",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0145,voltage,व्होल्टेज,,Rated voltage: 230 V,Rated व्होल्टेज: 230 V,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
