id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
doi_raw_Electrician (Tr_0123,voltage,वोल्टेज,,7 Repeat these steps by setting the PS voltages to 100 V and 150 V,7 Repeat these steps by setting the PS वोल्टेजs to 100 V and 150 V,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0057,ammeter,अमीटर,,"Ammeter MI, 10 Amp","अमीटर MI, 10 Amp",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0205,voltage,वोल्टेज,,No Radiation Voltage,No Radiation वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0228,fuse,फ्यूज,,TASK 1: Connect and test the Fuse,TASK 1: Connect and test the फ्यूज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0274,earthing,अर्थिंग,,(PME) system : It is a method of earthing system in which an earth conductor is,(PME) system : It is a method of अर्थिंग system in which an earth conductor is,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0064,ammeter,अमीटर,,Note down the voltmeter & Ammeter readings in each s,Note down the voltmeter & अमीटर readings in each s,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0053,resistance,प्रतिरोध,,"measure the voltage, current & resistance in electrical c","measure the voltage, current & प्रतिरोध in electrical c",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0074,resistance,प्रतिरोध,,Fixed Voltage (V) Variable Resistance (R) Current (I) I = V/R,Fixed Voltage (V) Variable प्रतिरोध (R) Current (I) I = V/R,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0141,resistance,प्रतिरोध,,hrome wire as per calculated value of resistance,hrome wire as per calculated value of प्रतिरोध,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0056,voltmeter,वोल्टमीटर,,"Voltmeter MI, 250 V","वोल्टमीटर MI, 250 V",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0266,resistance,प्रतिरोध,,5ft 10ft 15ft 20ft Average V alue of earth resistance (Ω),5ft 10ft 15ft 20ft Average V alue of earth प्रतिरोध (Ω),,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0212,conduit,कंड्यूट,,TASK 1: Carry out PVC conduit pipe wiring,TASK 1: Carry out PVC कंड्यूट pipe wiring,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0225,fuse,फ्यूज,,• Fuse / MCB trainer kit Standard - 1 No,• फ्यूज / MCB trainer kit Standard - 1 No,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0049,earthing,अर्थिंग,,minals of ground / earthing point,minals of ground / अर्थिंग point,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0285,copper conductor,तांबे दा चालक,,• Bare copper conductor 26 SWG - 4 Mtr,• Bare तांबे दा चालक 26 SWG - 4 Mtr,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0157,voltage,वोल्टेज,,sure the total voltage and cur,sure the total वोल्टेज and cur,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0181,voltage,वोल्टेज,,f constant voltage method of battery charging,f constant वोल्टेज method of battery charging,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0020,insulation,इन्सुलेशन,,53 To measure the insulation resistance of Electrical machineries 109,53 To measure the इन्सुलेशन resistance of Electrical machineries 109,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0298,capacitor,कैपेसिटर,,• test the capacitor for charge and discharge,• test the कैपेसिटर for charge and discharge,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0196,resistance,प्रतिरोध,,meter at maximum resistance position,meter at maximum प्रतिरोध position,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0316,capacitor,कैपेसिटर,,Connect the ohmmeter to test the capacitor and observ,Connect the ohmmeter to test the कैपेसिटर and observ,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0178,voltage,वोल्टेज,,• measure the voltage & specific gravity of lead acid batte,• measure the वोल्टेज & specific gravity of lead acid batte,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0050,cable,केबल,,Now hold the discharge rod and touch its steel hook to line bus bars of LT panel & power cables including,Now hold the discharge rod and touch its steel hook to line bus bars of LT panel & power केबलs including,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0046,earthing,अर्थिंग,,"4 Identify the earthing point, check and ensure the earth c","4 Identify the अर्थिंग point, check and ensure the earth c",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0296,capacitor,कैपेसिटर,,• test the capacitor with DC supply for insulation and leak,• test the कैपेसिटर with DC supply for insulation and leak,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0286,copper conductor,तांबे दा चालक,,d of bare copper conductor and twist it tightly on the nail,d of bare तांबे दा चालक and twist it tightly on the nail,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0252,insulation,इन्सुलेशन,,"• Insulation tape PVC, 19mm - 1 role","• इन्सुलेशन tape PVC, 19mm - 1 role",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0318,capacitor,कैपेसिटर,,1 Charging: at the time of charging capacitor voltage inc,1 Charging: at the time of charging कैपेसिटर voltage inc,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0188,voltage,वोल्टेज,,sure the battery voltage,sure the battery वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0189,voltage,वोल्टेज,,• Do not charge the battery with abnormal voltage / curre,• Do not charge the battery with abnormal वोल्टेज / curre,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0063,voltmeter,वोल्टमीटर,,Note down the voltmeter & Ammeter readings in each s,Note down the वोल्टमीटर & Ammeter readings in each s,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0026,protective device,सुरक्षा उपकरण,,"98 Test and service protective devices, control panel etc 240","98 Test and service सुरक्षा उपकरणs, control panel etc 240",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0174,voltage,वोल्टेज,,(Charging voltage / current value should,(Charging वोल्टेज / current value should,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0254,earthing,अर्थिंग,,Identify the earthing point to be tested and clean the ea,Identify the अर्थिंग point to be tested and clean the ea,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0291,insulation,इन्सुलेशन,,• Do not scrape the insulation of conductor while making,• Do not scrape the इन्सुलेशन of conductor while making,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0083,ammeter,अमीटर,,"Ammeter MI, 10 Amp - 2 Nos","अमीटर MI, 10 Amp - 2 Nos",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0234,fuse,फ्यूज,,5 Practice connection of HRC fuse in 3 phase circuits,5 Practice connection of HRC फ्यूज in 3 phase circuits,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0009,resistance,प्रतिरोध,,24 To measure the earth resistance by earth tester 46,24 To measure the earth प्रतिरोध by earth tester 46,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0173,voltage,वोल्टेज,,6 Set the charging voltage & current in battery charger and switch ON,6 Set the charging वोल्टेज & current in battery charger and switch ON,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0108,resistance,प्रतिरोध,,• Resistance Unknown valu,• प्रतिरोध Unknown valu,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0183,voltage,वोल्टेज,,(Charging voltage / value should,(Charging वोल्टेज / value should,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0269,resistance,प्रतिरोध,,alue of Earth Resistance: ______,alue of Earth प्रतिरोध: ______,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0209,conduit,कंड्यूट,,casing capping & PVC conduit pipe,casing capping & PVC कंड्यूट pipe,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0144,voltage,वोल्टेज,,Test the solenoid coil with low voltage supply and obser,Test the solenoid coil with low वोल्टेज supply and obser,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0248,earthing,अर्थिंग,,• test the earth continuity of earthing point,• test the earth continuity of अर्थिंग point,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0112,voltage,वोल्टेज,,"measure the voltage, current & resistance in complex c","measure the वोल्टेज, current & resistance in complex c",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician_0003,ammeter,अमीटर,,ammeter connection for 3 phase lamp load,अमीटर connection for 3 phase lamp load,,doi_Deva,data/raw/Electrician.txt,True
doi_raw_Electrician (Tr_0065,voltage,वोल्टेज,,erify the ohms law with variable voltage & constant resistance method,erify the ohms law with variable वोल्टेज & constant resistance method,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0142,resistance,प्रतिरोध,,5 Measure the resistance of heating coil and record it,5 Measure the प्रतिरोध of heating coil and record it,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0092,voltmeter,वोल्टमीटर,,e of lamps / resisters and note voltmeter & Ammeter readings,e of lamps / resisters and note वोल्टमीटर & Ammeter readings,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0195,cable,केबल,,1 Make the series connection of solar cells / PV modules by solar connector cables with proper polarity as per,1 Make the series connection of solar cells / PV modules by solar connector केबलs with proper polarity as per,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0237,voltage,वोल्टेज,,• Do not make short circuit in high voltage circuit to test MCB,• Do not make short circuit in high वोल्टेज circuit to test MCB,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0204,voltage,वोल्टेज,,1 Tabulate the voltage & current readings and calculate th,1 Tabulate the वोल्टेज & current readings and calculate th,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0253,earthing,अर्थिंग,,TASK 1 : Identify & test the earthing point,TASK 1 : Identify & test the अर्थिंग point,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0307,ammeter,अमीटर,,3 Observe the deflection in the ammeter and voltmeter,3 Observe the deflection in the अमीटर and voltmeter,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0037,live wire,लाइव तार,,is in Contact with Live Wire,is in Contact with लाइव तार,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0153,voltage,वोल्टेज,,sure the total voltage and cur,sure the total वोल्टेज and cur,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0060,voltmeter,वोल्टमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down वोल्टमीटर & Ammeter readings,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0171,voltage,वोल्टेज,,TASK 1: Test the specific gravity & battery voltage,TASK 1: Test the specific gravity & battery वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0265,electric shock,बिजली दा झटका,,ecting mains which causes electric shock,ecting mains which causes बिजली दा झटका,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0132,insulation,इन्सुलेशन,,Remove the insulation of 1,Remove the इन्सुलेशन of 1,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0139,insulation,इन्सुलेशन,,Insulate the soldered joint with insulation tape,Insulate the soldered joint with इन्सुलेशन tape,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0289,voltage,वोल्टेज,,2 Connect the electromagnet to the low voltage,2 Connect the electromagnet to the low वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0116,voltage,वोल्टेज,,2 Mark the polarity of the voltage drops across the resisto,2 Mark the polarity of the वोल्टेज drops across the resisto,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0320,voltage,वोल्टेज,,reases as the current and resistor voltage decrease,reases as the current and resistor वोल्टेज decrease,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0308,voltmeter,वोल्टमीटर,,3 Observe the deflection in the ammeter and voltmeter,3 Observe the deflection in the ammeter and वोल्टमीटर,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0151,voltage,वोल्टेज,,• check the voltage & curren,• check the वोल्टेज & curren,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0182,voltage,वोल्टेज,,5 Set the charging voltage of 13,5 Set the charging वोल्टेज of 13,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0119,voltage,वोल्टेज,,rite the Kirchhoff’s voltage equations for the closed paths,rite the Kirchhoff’s वोल्टेज equations for the closed paths,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0217,fuse,फ्यूज,,5 After satisfactory test results connect the electrical wiring supply mains through the protective fuse & MCB’,5 After satisfactory test results connect the electrical wiring supply mains through the protective फ्यूज & MCB’,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0115,voltage,वोल्टेज,,Verify Kirchhoff’s Voltage Law - KVL,Verify Kirchhoff’s वोल्टेज Law - KVL,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0276,neutral wire,न्यूट्रल तार,,connected to the earthing point as well as neutral wire of main incoming supply,connected to the earthing point as well as न्यूट्रल तार of main incoming supply,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0007,conduit,कंड्यूट,,21 To carry out Electrical wiring on PVC casing capping & PVC conduit pipe 40,21 To carry out Electrical wiring on PVC casing capping & PVC कंड्यूट pipe 40,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0170,voltage,वोल्टेज,,ity of electrolyte and battery voltage,ity of electrolyte and battery वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0077,resistance,प्रतिरोध,,Method-2 (Constant resistance & variable voltage method),Method-2 (Constant प्रतिरोध & variable voltage method),,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0229,fuse,फ्यूज,,"Identify the different types of fuses, their construction and ratings","Identify the different types of फ्यूजs, their construction and ratings",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0010,earthing,अर्थिंग,,25 Testing of protective multiple earthing (PME) connection 48,25 Testing of protective multiple अर्थिंग (PME) connection 48,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0293,capacitor,कैपेसिटर,,"EXERCISE 27 : Identify various types of capacitors,","EXERCISE 27 : Identify various types of कैपेसिटरs,",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0241,cable,केबल,,"rotective elements, wires & cables etc","rotective elements, wires & केबलs etc",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0302,capacitor,कैपेसिटर,,Identification of capacitors,Identification of कैपेसिटरs,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician_0001,three phase,थ्री फेज,,"a) Construct energy measurement circuit with three phase energy meter , Voltmeter and","a) Construct energy measurement circuit with थ्री फेज energy meter , Voltmeter and",,doi_Deva,data/raw/Electrician.txt,True
doi_raw_Electrician (Tr_0149,voltage,वोल्टेज,,ery for charging and measure the charging voltage & current,ery for charging and measure the charging वोल्टेज & current,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0004,voltage,वोल्टेज,,08 Measure the current and voltage in electrical circuits to verify Kirchhoff’s Law 15,08 Measure the current and वोल्टेज in electrical circuits to verify Kirchhoff’s Law 15,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0262,resistance,प्रतिरोध,,3 to 5 readings of earth resistance and take average value which is measured,3 to 5 readings of earth प्रतिरोध and take average value which is measured,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0202,resistance,प्रतिरोध,,Reduce the potentiometer resistance in steps until voltm,Reduce the potentiometer प्रतिरोध in steps until voltm,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0012,voltage,वोल्टेज,,29 To measure the voltage & current in Star and Delta connection 56,29 To measure the वोल्टेज & current in Star and Delta connection 56,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0220,resistance,प्रतिरोध,,Insulation resistance test between conductors,Insulation प्रतिरोध test between conductors,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0055,voltage,वोल्टेज,,• verify the ohms law by keeping supply voltage constant,• verify the ohms law by keeping supply वोल्टेज constant,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0150,voltage,वोल्टेज,,Check the battery voltage and AH rating of battery,Check the battery वोल्टेज and AH rating of battery,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0006,earthing,अर्थिंग,,"Module 4: Electrical Wiring Practice, Earthing","Module 4: Electrical Wiring Practice, अर्थिंग",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0315,capacitor,कैपेसिटर,,1 Discharge the given capacitor,1 Discharge the given कैपेसिटर,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0221,fuse,फ्यूज,,"EXERCISE 22 : To identify protective fuse, MCB, ELCB","EXERCISE 22 : To identify protective फ्यूज, MCB, ELCB",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0145,voltage,वोल्टेज,,Rated voltage: 230 V,Rated वोल्टेज: 230 V,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0304,voltage,वोल्टेज,,2 Read the value of capacitance and working voltage from,2 Read the value of capacitance and working वोल्टेज from,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
